transaction_id,from_account,to_account,amount,date,linked_person_id,synthetic_pattern
TXN00082,ACC00383,ACC00221,81860.46,2024-01-20,P00383,none
TXN00083,ACC00600,ACC00093,187788.2,2024-06-08,P00600,none
TXN00084,ACC00229,ACC00470,73164.26,2024-01-10,P00229,none
TXN00085,ACC00188,ACC00565,181939.8,2025-08-06,P00188,none
TXN00086,ACC00463,ACC00415,164672.16,2024-03-01,P00463,none
TXN00087,ACC00256,ACC00625,75656.14,2025-04-04,P00256,none
TXN00088,ACC00001,ACC00136,183699.02,2024-10-27,P00001,none
TXN00089,ACC00249,ACC00385,63989.89,2025-12-07,P00249,none
TXN00090,ACC00316,ACC00044,70710.15,2024-08-15,P00316,none
TXN00091,ACC00716,ACC00783,85270.4,2025-05-28,P00716,none
TXN00092,ACC00772,ACC00082,140132.51,2025-03-26,P00772,none
TXN00093,ACC00377,ACC00798,188355.27,2025-11-26,P00377,none
TXN00094,ACC00017,ACC00249,174803.94,2025-12-19,P00017,none
TXN00095,ACC00279,ACC00523,109583.48,2024-05-01,P00279,none
TXN00096,ACC00361,ACC00735,114206.13,2025-05-25,P00361,none
TXN00097,ACC00255,ACC00531,74203.02,2025-02-13,P00255,none
TXN00098,ACC00421,ACC00156,199813.02,2024-05-10,P00421,none
TXN00099,ACC00237,ACC00439,8168.85,2025-02-16,P00237,none
TXN00100,ACC00475,ACC00619,155204.84,2025-06-25,P00475,none
TXN00101,ACC00418,ACC00291,117268.78,2024-05-12,P00418,none
TXN00102,ACC00382,ACC00596,62427.18,2025-05-11,P00382,none
TXN00103,ACC00683,ACC00179,27410.24,2024-02-21,P00683,none
TXN00104,ACC00263,ACC00191,121164.02,2025-01-31,P00263,none
TXN00105,ACC00189,ACC00170,192268.58,2025-07-31,P00189,none
TXN00106,ACC00635,ACC00132,2710.39,2025-03-02,P00635,none
TXN00107,ACC00408,ACC00075,193316.43,2025-08-05,P00408,none
TXN00108,ACC00598,ACC00418,35795.68,2024-12-19,P00598,none
TXN00109,ACC00387,ACC00625,197060.71,2025-09-07,P00387,none
TXN00110,ACC00674,ACC00159,117803.55,2025-09-09,P00674,none
TXN00111,ACC00752,ACC00562,49965.69,2024-11-24,P00752,none
TXN00112,ACC00770,ACC00567,147093.37,2025-02-13,P00770,none
TXN00113,ACC00570,ACC00528,93066.27,2025-05-22,P00570,none
TXN00114,ACC00462,ACC00626,37864.57,2025-03-20,P00462,none
TXN00115,ACC00013,ACC00309,24722.9,2024-09-17,P00013,none
TXN00116,ACC00538,ACC00177,10246.72,2024-09-14,P00538,none
TXN00117,ACC00623,ACC00253,19581.31,2024-07-23,P00623,none
TXN00118,ACC00618,ACC00541,149334.12,2025-09-05,P00618,none
TXN00119,ACC00087,ACC00159,198212.9,2025-02-16,P00087,none
TXN00120,ACC00011,ACC00031,1381.6,2024-03-09,P00011,none
TXN00121,ACC00297,ACC00305,10409.23,2025-11-05,P00297,none
TXN00122,ACC00716,ACC00478,186024.28,2024-05-30,P00716,none
TXN00123,ACC00632,ACC00742,149525.1,2024-03-09,P00632,none
TXN00124,ACC00313,ACC00759,130586.62,2024-08-20,P00313,none
TXN00125,ACC00035,ACC00292,146352.29,2025-07-31,P00035,none
TXN00126,ACC00073,ACC00223,60453.54,2024-01-18,P00073,none
TXN00127,ACC00210,ACC00529,162399.72,2025-05-22,P00210,none
TXN00128,ACC00330,ACC00156,180276.1,2025-07-10,P00330,none
TXN00129,ACC00482,ACC00136,7117.82,2025-09-19,P00482,none
TXN00130,ACC00554,ACC00446,129063.26,2025-11-18,P00554,none
TXN00131,ACC00393,ACC00305,32373.9,2025-11-14,P00393,none
TXN00132,ACC00715,ACC00139,59721.87,2024-01-12,P00715,none
TXN00133,ACC00338,ACC00636,193939.39,2025-10-26,P00338,none
TXN00134,ACC00155,ACC00057,103958.74,2024-08-27,P00155,none
TXN00135,ACC00345,ACC00238,6680.56,2025-05-11,P00345,none
TXN00136,ACC00437,ACC00439,121921.93,2024-04-14,P00437,none
TXN00137,ACC00638,ACC00268,111960.51,2025-09-27,P00638,none
TXN00138,ACC00411,ACC00129,183117.05,2025-08-05,P00411,none
TXN00139,ACC00796,ACC00559,184282.79,2024-02-04,P00796,none
TXN00140,ACC00665,ACC00379,80758.5,2024-05-14,P00665,none
TXN00141,ACC00005,ACC00088,95034.69,2025-01-08,P00005,none
TXN00142,ACC00252,ACC00644,187080.91,2025-04-04,P00252,none
TXN00143,ACC00631,ACC00419,82103.51,2025-06-22,P00631,none
TXN00144,ACC00441,ACC00586,66974.5,2025-05-06,P00441,none
TXN00145,ACC00157,ACC00776,153014.02,2025-10-19,P00157,none
TXN00146,ACC00790,ACC00298,169990.03,2024-01-07,P00790,none
TXN00147,ACC00318,ACC00254,159182.84,2024-11-10,P00318,none
TXN00148,ACC00503,ACC00264,24542.94,2024-06-16,P00503,none
TXN00149,ACC00326,ACC00231,192890.85,2025-11-03,P00326,none
TXN00150,ACC00199,ACC00494,132264.99,2024-11-19,P00199,none
TXN00151,ACC00415,ACC00100,3040.18,2025-05-23,P00415,none
TXN00152,ACC00502,ACC00508,39691.63,2024-06-22,P00502,none
TXN00153,ACC00076,ACC00509,198120.58,2024-12-24,P00076,none
TXN00154,ACC00064,ACC00232,84099.22,2025-08-12,P00064,none
TXN00155,ACC00781,ACC00680,36278.06,2024-02-16,P00781,none
TXN00156,ACC00151,ACC00712,67038.42,2025-09-28,P00151,none
TXN00157,ACC00763,ACC00598,119725.24,2024-03-13,P00763,none
TXN00158,ACC00605,ACC00204,103369.46,2024-07-17,P00605,none
TXN00159,ACC00216,ACC00471,8542.8,2024-11-01,P00216,none
TXN00160,ACC00750,ACC00189,162167.83,2024-11-13,P00750,none
TXN00161,ACC00282,ACC00460,57678.93,2025-09-15,P00282,none
TXN00162,ACC00001,ACC00799,54551.26,2025-03-17,P00001,none
TXN00163,ACC00027,ACC00455,150083.59,2025-07-01,P00027,none
TXN00164,ACC00426,ACC00132,155006.14,2024-11-18,P00426,none
TXN00165,ACC00068,ACC00006,138519.73,2025-04-26,P00068,none
TXN00166,ACC00424,ACC00330,15705.16,2025-09-14,P00424,none
TXN00167,ACC00074,ACC00483,126160.05,2025-12-05,P00074,none
TXN00168,ACC00571,ACC00800,195010.15,2024-04-01,P00571,none
TXN00169,ACC00495,ACC00712,48159.01,2025-11-04,P00495,none
TXN00170,ACC00171,ACC00552,118821.36,2024-03-21,P00171,none
TXN00171,ACC00275,ACC00361,77013.57,2024-09-18,P00275,none
TXN00172,ACC00038,ACC00620,162881.64,2025-07-25,P00038,none
TXN00173,ACC00363,ACC00522,790.4,2024-12-20,P00363,none
TXN00174,ACC00558,ACC00760,16271.22,2024-04-07,P00558,none
TXN00175,ACC00329,ACC00463,52484.12,2025-09-26,P00329,none
TXN00176,ACC00402,ACC00686,73466.21,2025-09-08,P00402,none
TXN00177,ACC00683,ACC00120,184404.19,2024-02-18,P00683,none
TXN00178,ACC00663,ACC00504,164341.0,2024-01-03,P00663,none
TXN00179,ACC00052,ACC00292,2755.93,2024-09-08,P00052,none
TXN00180,ACC00013,ACC00735,62640.73,2024-11-15,P00013,none
TXN00181,ACC00121,ACC00553,984639.97,2024-10-09,P00121,structuring
TXN00182,ACC00121,ACC00553,936161.9,2024-10-10,P00121,structuring
TXN00183,ACC00121,ACC00553,980002.76,2024-10-11,P00121,structuring
TXN00184,ACC00729,ACC00560,925293.27,2024-06-02,P00729,structuring
TXN00185,ACC00729,ACC00560,955075.8,2024-06-03,P00729,structuring
TXN00186,ACC00729,ACC00560,964263.22,2024-06-04,P00729,structuring
TXN00187,ACC00603,ACC00392,969866.71,2025-02-07,P00603,structuring
TXN00188,ACC00603,ACC00392,967997.02,2025-02-08,P00603,structuring
TXN00189,ACC00603,ACC00392,922593.86,2025-02-09,P00603,structuring
TXN00190,ACC00527,ACC00381,964492.03,2025-07-11,P00527,structuring
TXN00191,ACC00527,ACC00381,938115.58,2025-07-12,P00527,structuring
TXN00192,ACC00527,ACC00381,983186.62,2025-07-13,P00527,structuring
TXN00193,ACC00527,ACC00381,968343.3,2025-07-14,P00527,structuring
TXN00194,ACC00676,ACC00456,929850.86,2025-06-30,P00676,structuring
TXN00195,ACC00676,ACC00456,940910.24,2025-07-01,P00676,structuring
TXN00196,ACC00676,ACC00456,959525.23,2025-07-02,P00676,structuring
TXN00197,ACC00093,ACC00347,327323.5,2025-03-23,P00093,funnel_in
TXN00198,ACC00393,ACC00347,201661.65,2025-03-23,P00393,funnel_in
TXN00199,ACC00290,ACC00347,200930.92,2025-03-23,P00290,funnel_in
TXN00200,ACC00347,ACC00243,571272.9,2025-03-24,P00347,funnel_out
TXN00201,ACC00136,ACC00428,301225.35,2024-07-13,P00136,funnel_in
TXN00202,ACC00205,ACC00428,267105.69,2024-07-13,P00205,funnel_in
TXN00203,ACC00057,ACC00428,215911.78,2024-07-13,P00057,funnel_in
TXN00204,ACC00428,ACC00022,651568.78,2024-07-14,P00428,funnel_out
TXN00205,ACC00055,ACC00520,271845.5,2025-03-18,P00055,funnel_in
TXN00206,ACC00782,ACC00520,276397.28,2025-03-18,P00782,funnel_in
TXN00207,ACC00789,ACC00520,391238.64,2025-03-18,P00789,funnel_in
TXN00208,ACC00520,ACC00572,641483.96,2025-03-19,P00520,funnel_out
